00110001  00110001
01111100  01111100
00001110  00001110
00000001  00000001
10001111  10001111
10100110  00100010
10001100  10001100
01010000  01010000
01010001  01010001
10011000  10011000
10100011  00100010
01000010  00110001
01001110  01001110
01111011  00010011
00000110  00000110
11111000  11111000
10101010  00100010
00101000  00110001
11111100  11111100
10110111  00010011
01011111  01011111
00111001  00100010
00010001  00110001
00010000  00010000
00111110  00111110
11010001  11010001
11011001  11011001
11111111  00000100
11011101  00010011
11010101  11010101
11010011  11010011
00010001  00110001
10011010  00100010
11011100  11011100
11000010  11000010
10011110  10011110
11011001  11011001
00010111  00010111
00111111  00111111
10111011  00010011
10100111  10100111
11001010  00100010
00010000  00010000
00110001  00110001
00111000  00111000
00001010  00001010
01101010  00100010
11000011  00100010
10111010  10111010
00101001  00101001
01011001  00100010
11100000  11100000
11010000  11010000
00111101  00111101
10011011  10011011
00110101  00100010
00000001  00000001
00011011  00011011
00100101  00100101
11101001  11101001
11010110  11010110
00101001  00101001
00110110  00100010
10000111  10000111
10110111  00010011
11101011  00010011
11111110  11111110
01011011  01011011
11100010  11100010
11111011  11111011
01000111  01000111
10111111  10111111
11001111  11001111
00001110  00001110
11111110  11111110
10110000  10110000
00001100  00001100
11111110  11111110
10110100  10110100
10101110  10101110
11110000  11110000
00001110  00001110
01001101  01001101
00111111  00111111
11110000  11110000
10110000  10110000
00000000  01000000
11101111  11101111
11111111  00000100
11010110  11010110
01001001  01001001
10101111  10101111
10011111  10011111
10100000  10100000
01110000  01110000
11011011  00010011
01111110  00010011
01111111  01111111
10110100  10110100
01100001  01100001
